rate,agg_throughput,avg_per_core_throughput,avg_latency,p99_latency
1000,6489.21,927.0300000000001,2.83818,11.863166666666666
2000,12889.566666666666,1841.3666666666668,2.9748033333333335,11.959533333333333
3000,19202.366666666665,2743.193333333333,3.12658,12.4676
4000,25306.833333333332,3615.26,3.2814,14.914266666666668
5000,31245.93333333333,4463.706666666666,3.4388433333333333,17.983499999999996
6000,37167.43333333333,5309.633333333332,3.542523333333333,18.94843333333333
7000,42806.86666666667,6115.2699999999995,3.7322,22.7273
8000,48362.200000000004,6908.889999999999,3.818713333333333,23.476033333333334
9000,53903.36666666667,7700.483333333334,4.025356666666666,25.40846666666667
10000,59237.166666666664,8462.453333333333,4.15369,26.5994
11000,64402.73333333334,9200.39,4.373363333333333,28.136633333333332
12000,69448.90000000001,9921.276666666667,4.6693,30.057799999999997
13000,74494.16666666667,10642.033333333333,4.835706666666667,30.75576666666667
14000,79593.33333333333,11370.466666666667,5.041466666666667,31.2413
15000,84048.2,12006.866666666669,5.313683333333333,32.183
16000,88330.76666666668,12618.700000000003,5.503266666666668,32.44566666666666
17000,92840.16666666667,13262.866666666667,5.943126666666667,34.106833333333334
18000,97425.13333333332,13917.9,6.440806666666667,35.708133333333336
19000,100872.66666666667,14410.4,7.303613333333334,39.859566666666666
20000,105099.0,15014.166666666666,7.68279,42.512800000000006
22000,112167.66666666667,16023.933333333334,10.692893333333332,63.0096
24000,117780.0,16825.7,38.43016666666667,266.81766666666664
26000,120466.0,17209.433333333334,242.44733333333338,1291.1266666666668
28000,120847.66666666667,17263.933333333334,757.3123333333333,2846.4599999999996
30000,121296.66666666667,17328.133333333335,1418.3633333333335,4395.803333333334
